task_index,task_id,window_index,window_id,section,date,duration_min,capacity_min,priority,due_date,block_start,block_end,block_start_time,block_end_time,department,asset_id,severity,status
46,M131,407,W0408,S14,2026-09-09,90,180,68.5,2026-09-27,540,630,09:00,10:30,Engineering,AST020,High,Pending
47,M201,280,W0281,S10,2026-09-07,60,180,68.0,2026-08-29,540,600,09:00,10:00,Traction,AST085,Medium,Completed
48,M247,33,W0034,S02,2026-09-07,60,180,67.5,2026-09-15,840,900,14:00,15:00,S&T,AST038,High,Pending
49,M284,435,W0436,S15,2026-09-08,60,180,67.5,2026-09-08,540,600,09:00,10:00,Traction,AST074,High,Ongoing
50,M146,602,W0603,S20,2026-09-12,60,180,67.5,2026-09-15,540,600,09:00,10:00,S&T,AST057,High,Completed
51,M010,121,W0122,S05,2026-09-07,60,180,67.0,2026-08-30,540,600,09:00,10:00,Traction,AST080,Medium,Ongoing
52,M005,94,W0095,S04,2026-09-08,120,180,66.0,2026-09-09,540,660,09:00,11:00,S&T,AST045,High,Pending
53,M119,524,W0525,S18,2026-09-07,30,180,65.5,2026-08-31,540,570,09:00,09:30,Traction,AST088,Medium,Ongoing
54,M140,100,W0101,S04,2026-09-10,60,180,65.5,2026-09-16,840,900,14:00,15:00,Traction,AST090,High,Pending
55,M039,588,W0589,S20,2026-09-07,30,140,65.5,2026-08-31,540,570,09:00,09:30,Traction,AST095,Medium,Completed
56,M034,37,W0038,S02,2026-09-09,60,180,64.5,2026-09-26,840,900,14:00,15:00,S&T,AST048,High,Pending
57,M045,602,W0603,S20,2026-09-12,60,180,64.5,2026-10-01,540,600,09:00,10:00,S&T,AST059,Critical,Completed
58,M025,35,W0036,S02,2026-09-08,90,180,64.5,2026-09-23,840,930,14:00,15:30,Traction,AST078,High,Pending
59,M263,536,W0537,S18,2026-09-12,120,180,64.5,2026-09-20,540,660,09:00,11:00,Traction,AST076,Critical,Ongoing
60,M235,560,W0561,S19,2026-09-08,90,180,64.5,2026-09-22,840,930,14:00,15:30,Engineering,AST014,Critical,Pending
61,M166,537,W0538,S18,2026-09-12,150,180,64.5,2026-09-21,840,990,14:00,16:30,Traction,AST076,Critical,Ongoing
62,M214,536,W0537,S18,2026-09-12,60,180,64.5,2026-09-21,540,600,09:00,10:00,S&T,AST052,High,Ongoing
63,M274,100,W0101,S04,2026-09-10,60,180,64.5,2026-09-10,840,900,14:00,15:00,Traction,AST090,High,Pending
64,M271,401,W0402,S13,2026-09-20,90,180,64.5,2026-09-29,540,630,09:00,10:30,Traction,AST092,High,Pending
65,M099,93,W0094,S04,2026-09-07,90,180,64.0,2026-08-27,840,930,14:00,15:30,Engineering,AST022,Medium,Pending
66,M067,559,W0560,S19,2026-09-08,120,180,64.0,2026-09-17,540,660,09:00,11:00,S&T,AST037,High,Pending
67,M212,310,W0311,S11,2026-09-07,60,180,64.0,2026-08-26,840,900,14:00,15:00,Traction,AST070,Medium,Completed
68,M188,250,W0251,S09,2026-09-07,120,180,64.0,2026-09-23,840,960,14:00,16:00,S&T,AST051,High,Completed
69,M042,434,W0435,S15,2026-09-07,30,180,63.5,2026-09-04,840,870,14:00,14:30,Engineering,AST004,Medium,Ongoing
70,M021,309,W0310,S11,2026-09-07,90,180,63.5,2026-09-01,540,630,09:00,10:30,Traction,AST091,Medium,Completed
71,M153,558,W0559,S19,2026-09-07,60,180,63.0,2026-09-11,840,900,14:00,15:00,S&T,AST055,High,Pending
72,M031,61,W0062,S03,2026-09-07,30,180,62.5,2026-09-02,540,570,09:00,09:30,S&T,AST065,Medium,Pending
73,M084,529,W0530,S18,2026-09-09,90,180,62.0,2026-09-09,840,930,14:00,15:30,Traction,AST088,Medium,Ongoing
74,M123,526,W0527,S18,2026-09-08,90,180,61.0,2026-09-03,540,630,09:00,10:30,S&T,AST052,Medium,Ongoing
75,M205,218,W0219,S08,2026-09-07,90,180,61.0,2026-08-30,840,930,14:00,15:30,Engineering,AST011,Medium,Ongoing
76,M297,404,W0405,S14,2026-09-07,60,180,60.5,2026-09-03,840,900,14:00,15:00,Traction,AST082,Low,Pending
77,M057,123,W0124,S05,2026-09-08,60,180,60.5,2026-09-10,540,600,09:00,10:00,Traction,AST073,Medium,Ongoing
78,M197,107,W0108,S04,2026-09-14,120,180,60.0,2026-09-16,540,660,09:00,11:00,S&T,AST044,High,Pending
79,M033,525,W0526,S18,2026-09-07,30,180,59.5,2026-08-26,840,870,14:00,14:30,Traction,AST069,Medium,Ongoing
80,M018,525,W0526,S18,2026-09-07,30,180,59.5,2026-08-27,840,870,14:00,14:30,S&T,AST066,Medium,Ongoing
81,M135,403,W0404,S14,2026-09-07,60,180,59.5,2026-09-04,540,600,09:00,10:00,S&T,AST043,Medium,Pending
82,M137,372,W0373,S13,2026-09-07,30,180,59.5,2026-09-04,540,570,09:00,09:30,Traction,AST086,Medium,Pending
83,M075,1,W0002,S01,2026-09-07,60,180,59.5,2026-08-31,840,900,14:00,15:00,Engineering,AST024,Medium,Pending
84,M060,463,W0464,S16,2026-09-07,60,120,59.0,2026-09-04,600,660,10:00,11:00,Traction,AST071,Low,Completed
85,M007,535,W0536,S18,2026-09-11,90,155,58.5,2026-09-25,865,955,14:25,15:55,Engineering,AST031,High,Overdue
86,M163,158,W0159,S06,2026-09-09,120,180,58.5,2026-10-04,540,660,09:00,11:00,Traction,AST089,High,Ongoing
87,M103,408,W0409,S14,2026-09-09,120,130,58.5,2026-09-22,840,960,14:00,16:00,Engineering,AST020,High,Pending
88,M195,464,W0465,S16,2026-09-07,90,180,58.5,2026-09-16,840,930,14:00,15:30,Traction,AST071,High,Completed
89,M206,311,W0312,S11,2026-09-08,60,180,58.5,2026-09-28,540,600,09:00,10:00,Traction,AST070,High,Completed
90,M095,412,W0413,S14,2026-09-11,120,180,58.5,2026-09-18,540,660,09:00,11:00,Traction,AST072,High,Pending
91,M211,156,W0157,S06,2026-09-08,60,180,58.5,2026-09-17,540,600,09:00,10:00,Engineering,AST001,High,Ongoing
92,M207,373,W0374,S13,2026-09-07,60,180,58.0,2026-08-29,840,900,14:00,15:00,Traction,AST092,Low,Pending
93,M216,93,W0094,S04,2026-09-07,60,180,58.0,2026-08-29,840,900,14:00,15:00,Traction,AST090,Medium,Pending
94,M156,404,W0405,S14,2026-09-07,90,180,57.5,2026-09-03,840,930,14:00,15:30,Traction,AST093,High,Pending
95,M290,94,W0095,S04,2026-09-08,60,180,57.5,2026-09-08,540,600,09:00,10:00,Traction,AST079,Medium,Pending
96,M015,434,W0435,S15,2026-09-07,90,180,57.5,2026-09-06,840,930,14:00,15:30,Engineering,AST004,High,Ongoing
97,M242,558,W0559,S19,2026-09-07,60,180,57.5,2026-09-05,840,900,14:00,15:00,Engineering,AST014,Medium,Pending
98,M254,1,W0002,S01,2026-09-07,60,180,57.5,2026-09-01,840,900,14:00,15:00,Traction,AST081,Low,Pending
99,M023,434,W0435,S15,2026-09-07,60,180,57.5,2026-09-26,840,900,14:00,15:00,S&T,AST035,Critical,Ongoing
100,M154,234,W0235,S08,2026-09-14,120,180,57.0,2026-09-23,840,960,14:00,16:00,Engineering,AST007,High,Ongoing
101,M100,34,W0035,S02,2026-09-08,60,180,57.0,2026-10-01,540,600,09:00,10:00,Engineering,AST019,High,Pending
102,M049,281,W0282,S10,2026-09-07,30,180,56.5,2026-09-02,840,870,14:00,14:30,Traction,AST096,Medium,Completed
103,M159,105,W0106,S04,2026-09-13,60,180,54.0,2026-09-28,540,600,09:00,10:00,S&T,AST045,High,Pending
104,M115,65,W0066,S03,2026-09-09,90,180,54.0,2026-10-05,540,630,09:00,10:30,S&T,AST047,High,Pending
105,M037,104,W0105,S04,2026-09-12,120,180,54.0,2026-09-21,840,960,14:00,16:00,Traction,AST090,High,Pending
106,M276,201,W0202,S07,2026-09-14,60,180,54.0,2026-09-26,840,900,14:00,15:00,Engineering,AST033,High,Ongoing
107,M029,67,W0068,S03,2026-09-10,90,180,54.0,2026-09-20,540,630,09:00,10:30,S&T,AST047,High,Overdue
108,M298,66,W0067,S03,2026-09-09,60,180,54.0,2026-09-18,840,900,14:00,15:00,S&T,AST039,High,Pending
109,M121,284,W0285,S10,2026-09-08,90,180,54.0,2026-09-19,840,930,14:00,15:30,S&T,AST053,High,Completed
110,M210,406,W0407,S14,2026-09-08,90,180,54.0,2026-09-21,840,930,14:00,15:30,Traction,AST098,High,Pending
111,M233,202,W0203,S07,2026-09-15,90,180,54.0,2026-09-27,540,630,09:00,10:30,Traction,AST094,High,Ongoing
112,M006,301,W0302,S10,2026-09-17,90,180,54.0,2026-09-24,540,630,09:00,10:30,S&T,AST053,High,Completed
113,M249,524,W0525,S18,2026-09-07,30,180,53.5,2026-09-01,540,570,09:00,09:30,S&T,AST052,Low,Ongoing
114,M248,249,W0250,S09,2026-09-07,30,180,53.5,2026-09-01,540,570,09:00,09:30,S&T,AST051,Medium,Completed
115,M182,219,W0220,S08,2026-09-08,60,180,53.0,2026-09-08,540,600,09:00,10:00,Engineering,AST007,Low,Ongoing
116,M164,284,W0285,S10,2026-09-08,90,180,53.0,2026-09-08,840,930,14:00,15:30,Engineering,AST034,Medium,Completed
117,M295,403,W0404,S14,2026-09-07,30,180,52.0,2026-09-09,540,570,09:00,09:30,Traction,AST082,Medium,Pending
118,M237,528,W0529,S18,2026-09-09,30,180,52.0,2026-09-09,540,570,09:00,09:30,S&T,AST052,Medium,Ongoing
119,M096,92,W0093,S04,2026-09-07,60,125,52.0,2026-08-29,595,655,09:55,10:55,Traction,AST079,Low,Pending
120,M070,0,W0001,S01,2026-09-07,120,180,51.5,2026-09-26,540,660,09:00,11:00,S&T,AST067,Critical,Pending
121,M229,61,W0062,S03,2026-09-07,30,180,51.5,2026-09-09,540,570,09:00,09:30,S&T,AST036,Medium,Pending
122,M185,103,W0104,S04,2026-09-12,60,180,51.5,2026-09-12,540,600,09:00,10:00,S&T,AST042,Medium,Pending
123,M287,374,W0375,S13,2026-09-08,30,180,50.5,2026-09-10,540,570,09:00,09:30,Traction,AST092,Medium,Pending
124,M253,92,W0093,S04,2026-09-07,60,125,50.5,2026-08-30,595,655,09:55,10:55,Engineering,AST022,Low,Pending
125,M026,217,W0218,S08,2026-09-07,60,180,50.5,2026-09-06,540,600,09:00,10:00,Engineering,AST011,Medium,Ongoing
126,M217,375,W0376,S13,2026-09-08,90,180,50.5,2026-09-10,840,930,14:00,15:30,Traction,AST086,Medium,Pending
127,M260,374,W0375,S13,2026-09-08,30,180,50.5,2026-09-10,540,570,09:00,09:30,Traction,AST097,Medium,Pending
128,M246,312,W0313,S11,2026-09-08,60,180,50.0,2026-09-10,840,900,14:00,15:00,Traction,AST091,Medium,Completed
129,M256,36,W0037,S02,2026-09-09,60,180,50.0,2026-09-25,540,600,09:00,10:00,Engineering,AST019,Medium,Pending
130,M009,529,W0530,S18,2026-09-09,30,180,50.0,2026-09-29,840,870,14:00,14:30,S&T,AST052,Medium,Ongoing
131,M192,228,W0229,S08,2026-09-11,90,180,50.0,2026-09-13,840,930,14:00,15:30,Engineering,AST011,Medium,Ongoing
132,M176,400,W0401,S13,2026-09-19,30,180,50.0,2026-09-27,840,870,14:00,14:30,Traction,AST092,Medium,Pending
133,M091,65,W0066,S03,2026-09-09,90,180,50.0,2026-09-19,540,630,09:00,10:30,S&T,AST065,Medium,Pending
134,M128,407,W0408,S14,2026-09-09,90,180,50.0,2026-09-25,540,630,09:00,10:30,Traction,AST082,Medium,Pending
135,M073,34,W0035,S02,2026-09-08,60,180,50.0,2026-09-28,540,600,09:00,10:00,Engineering,AST013,Medium,Pending
136,M064,403,W0404,S14,2026-09-07,30,180,49.0,2026-09-04,540,570,09:00,09:30,Traction,AST082,Low,Pending
137,M097,433,W0434,S15,2026-09-07,30,180,49.0,2026-09-04,540,570,09:00,09:30,Engineering,AST021,Medium,Ongoing
138,M177,217,W0218,S08,2026-09-07,60,180,49.0,2026-09-04,540,600,09:00,10:00,Engineering,AST007,Low,Ongoing
139,M230,588,W0589,S20,2026-09-07,90,140,49.0,2026-09-11,540,630,09:00,10:30,S&T,AST057,Medium,Completed
140,M228,527,W0528,S18,2026-09-08,90,180,49.0,2026-09-04,840,930,14:00,15:30,S&T,AST066,Medium,Ongoing
141,M203,249,W0250,S09,2026-09-07,60,180,48.5,2026-09-04,540,600,09:00,10:00,S&T,AST051,Low,Completed
142,M226,438,W0439,S15,2026-09-09,60,180,48.5,2026-09-11,840,900,14:00,15:00,Engineering,AST021,Medium,Ongoing
143,M286,403,W0404,S14,2026-09-07,30,180,47.5,2026-08-29,540,570,09:00,09:30,Traction,AST098,Low,Pending
144,M265,309,W0310,S11,2026-09-07,30,180,47.5,2026-09-01,540,570,09:00,09:30,Traction,AST070,Low,Completed
145,M222,64,W0065,S03,2026-09-08,120,180,47.0,2026-09-18,840,960,14:00,16:00,Engineering,AST030,High,Pending
146,M014,464,W0465,S16,2026-09-07,90,180,47.0,2026-09-29,840,930,14:00,15:30,Traction,AST071,High,Completed
147,M069,435,W0436,S15,2026-09-08,60,180,46.0,2026-09-13,540,600,09:00,10:00,S&T,AST035,Medium,Ongoing
148,M035,309,W0310,S11,2026-09-07,60,180,46.0,2026-09-06,540,600,09:00,10:00,Traction,AST091,Medium,Completed
149,M041,154,W0155,S06,2026-09-07,30,100,46.0,2026-08-30,840,870,14:00,14:30,Engineering,AST027,Low,Ongoing
150,M090,433,W0434,S15,2026-09-07,30,180,46.0,2026-08-30,540,570,09:00,09:30,Traction,AST074,Low,Ongoing
151,M200,106,W0107,S04,2026-09-13,90,180,45.5,2026-09-16,840,930,14:00,15:30,S&T,AST042,Medium,Pending
152,M109,311,W0312,S11,2026-09-08,60,180,45.5,2026-09-13,540,600,09:00,10:00,Engineering,AST023,Low,Completed
153,M124,405,W0406,S14,2026-09-08,60,180,44.5,2026-09-14,540,600,09:00,10:00,Traction,AST082,Medium,Pending
154,M152,406,W0407,S14,2026-09-08,90,180,44.5,2026-09-10,840,930,14:00,15:30,Traction,AST072,Medium,Pending
155,M165,35,W0036,S02,2026-09-08,90,180,44.5,2026-09-14,840,930,14:00,15:30,Engineering,AST013,Medium,Pending
156,M282,603,W0604,S20,2026-09-12,60,180,44.5,2026-09-14,840,900,14:00,15:00,Traction,AST095,Medium,Completed
157,M245,158,W0159,S06,2026-09-09,30,180,44.0,2026-09-30,540,570,09:00,09:30,Traction,AST099,Medium,Ongoing
158,M027,218,W0219,S08,2026-09-07,30,180,44.0,2026-09-30,840,870,14:00,14:30,S&T,AST049,Medium,Ongoing
159,M294,157,W0158,S06,2026-09-08,90,180,43.0,2026-09-11,840,930,14:00,15:30,Traction,AST099,Medium,Ongoing
160,M300,61,W0062,S03,2026-09-07,30,180,42.5,2026-09-08,540,570,09:00,09:30,Engineering,AST010,Low,Pending
161,M269,528,W0529,S18,2026-09-09,30,180,41.5,2026-09-09,540,570,09:00,09:30,Engineering,AST012,Low,Ongoing
162,M092,221,W0222,S08,2026-09-09,90,150,41.0,2026-09-30,540,630,09:00,10:30,Traction,AST084,High,Ongoing
163,M122,559,W0560,S19,2026-09-08,60,180,41.0,2026-09-14,540,600,09:00,10:00,S&T,AST037,High,Pending
164,M053,410,W0411,S14,2026-09-10,60,180,40.0,2026-09-27,540,600,09:00,10:00,Traction,AST082,Medium,Pending
165,M270,600,W0601,S20,2026-09-11,30,110,40.0,2026-09-23,840,870,14:00,14:30,S&T,AST057,Medium,Completed
166,M266,300,W0301,S10,2026-09-16,60,180,40.0,2026-09-24,840,900,14:00,15:00,S&T,AST062,Medium,Completed
167,M050,217,W0218,S08,2026-09-07,60,180,40.0,2026-10-04,540,600,09:00,10:00,Engineering,AST018,Medium,Ongoing
168,M252,32,W0033,S02,2026-09-07,30,180,40.0,2026-09-26,540,570,09:00,09:30,Engineering,AST019,Medium,Pending
169,M251,530,W0531,S18,2026-09-10,60,180,40.0,2026-10-01,540,600,09:00,10:00,Engineering,AST012,Medium,Ongoing
170,M136,400,W0401,S13,2026-09-19,30,180,40.0,2026-09-21,840,870,14:00,14:30,Traction,AST097,Medium,Pending
171,M102,400,W0401,S13,2026-09-19,30,180,40.0,2026-10-01,840,870,14:00,14:30,Traction,AST097,Medium,Pending
172,M127,100,W0101,S04,2026-09-10,60,180,40.0,2026-09-10,840,900,14:00,15:00,S&T,AST058,Medium,Pending
173,M134,433,W0434,S15,2026-09-07,30,180,40.0,2026-09-03,540,570,09:00,09:30,Traction,AST074,Low,Ongoing
174,M101,219,W0220,S08,2026-09-08,60,180,40.0,2026-09-19,540,600,09:00,10:00,Engineering,AST018,Medium,Ongoing
175,M225,280,W0281,S10,2026-09-07,60,180,40.0,2026-09-10,540,600,09:00,10:00,Engineering,AST034,Medium,Completed
176,M106,282,W0283,S10,2026-09-08,30,160,40.0,2026-09-13,540,570,09:00,09:30,Traction,AST096,Medium,Completed
177,M244,528,W0529,S18,2026-09-09,30,180,40.0,2026-10-03,540,570,09:00,09:30,Engineering,AST012,Medium,Ongoing
178,M236,500,W0501,S17,2026-09-09,30,180,40.0,2026-09-17,840,870,14:00,14:30,S&T,AST060,Medium,Pending
179,M086,121,W0122,S05,2026-09-07,30,180,40.0,2026-10-02,540,570,09:00,09:30,Traction,AST080,Medium,Ongoing
180,M081,436,W0437,S15,2026-09-08,60,180,40.0,2026-09-18,840,900,14:00,15:00,S&T,AST063,Medium,Ongoing
181,M129,528,W0529,S18,2026-09-09,30,180,40.0,2026-09-27,540,570,09:00,09:30,S&T,AST052,Medium,Ongoing
182,M178,313,W0314,S11,2026-09-09,90,180,40.0,2026-10-02,540,630,09:00,10:30,Engineering,AST023,Medium,Completed
183,M291,123,W0124,S05,2026-09-08,60,180,40.0,2026-09-30,540,600,09:00,10:00,Traction,AST080,Medium,Ongoing
184,M189,300,W0301,S10,2026-09-16,30,180,40.0,2026-09-30,840,870,14:00,14:30,S&T,AST062,Medium,Completed
185,M024,103,W0104,S04,2026-09-12,60,180,39.5,2026-10-04,540,600,09:00,10:00,S&T,AST045,Medium,Pending
186,M013,405,W0406,S14,2026-09-08,60,180,39.5,2026-09-26,540,600,09:00,10:00,S&T,AST043,Low,Pending
187,M190,529,W0530,S18,2026-09-09,30,180,39.5,2026-10-05,840,870,14:00,14:30,S&T,AST066,Medium,Ongoing
188,M066,433,W0434,S15,2026-09-07,30,180,39.5,2026-09-24,540,570,09:00,09:30,Engineering,AST021,Medium,Ongoing
189,M250,530,W0531,S18,2026-09-10,60,180,39.5,2026-09-19,540,600,09:00,10:00,Traction,AST076,Medium,Ongoing
190,M169,280,W0281,S10,2026-09-07,60,180,39.5,2026-09-10,540,600,09:00,10:00,Engineering,AST034,Low,Completed
191,M004,61,W0062,S03,2026-09-07,30,180,39.5,2026-09-19,540,570,09:00,09:30,S&T,AST039,Medium,Overdue
192,M040,433,W0434,S15,2026-09-07,30,180,39.5,2026-10-03,540,570,09:00,09:30,S&T,AST035,Low,Ongoing
193,M094,531,W0532,S18,2026-09-10,60,180,39.5,2026-09-18,840,900,14:00,15:00,S&T,AST066,Medium,Ongoing
194,M118,2,W0003,S01,2026-09-08,30,180,37.0,2026-09-15,540,570,09:00,09:30,Traction,AST081,Medium,Pending
195,M147,589,W0590,S20,2026-09-07,30,35,37.0,2026-09-05,685,715,11:25,11:55,S&T,AST059,Low,Completed
196,M008,560,W0561,S19,2026-09-08,90,180,37.0,2026-09-12,840,930,14:00,15:30,Engineering,AST014,Medium,Pending
197,M032,603,W0604,S20,2026-09-12,60,180,37.0,2026-09-12,840,900,14:00,15:00,Traction,AST095,Low,Completed
198,M289,228,W0229,S08,2026-09-11,60,180,36.5,2026-09-15,840,900,14:00,15:00,S&T,AST049,Low,Ongoing
199,M061,538,W0539,S18,2026-09-13,90,180,36.5,2026-09-29,540,630,09:00,10:30,Traction,AST069,High,Ongoing
200,M051,102,W0103,S04,2026-09-11,60,180,36.5,2026-09-23,840,900,14:00,15:00,Traction,AST090,High,Pending
201,M267,528,W0529,S18,2026-09-09,30,180,36.5,2026-09-15,540,570,09:00,09:30,Engineering,AST031,Low,Ongoing
202,M085,538,W0539,S18,2026-09-13,60,180,36.5,2026-09-29,540,600,09:00,10:00,Traction,AST076,High,Ongoing
203,M068,403,W0404,S14,2026-09-07,30,180,34.0,2026-09-19,540,570,09:00,09:30,Traction,AST072,Medium,Pending
204,M001,437,W0438,S15,2026-09-09,90,180,34.0,2026-09-24,540,630,09:00,10:30,Engineering,AST004,Medium,Ongoing
205,M107,436,W0437,S15,2026-09-08,90,180,34.0,2026-09-29,840,930,14:00,15:30,Engineering,AST004,Medium,Ongoing
206,M293,61,W0062,S03,2026-09-07,30,180,34.0,2026-09-07,540,570,09:00,09:30,S&T,AST047,Low,Pending
207,M012,220,W0221,S08,2026-09-08,90,180,34.0,2026-09-19,840,930,14:00,15:30,Engineering,AST016,Medium,Ongoing
208,M262,433,W0434,S15,2026-09-07,30,180,34.0,2026-09-29,540,570,09:00,09:30,Engineering,AST004,Medium,Ongoing
209,M077,201,W0202,S07,2026-09-14,30,180,34.0,2026-10-04,840,870,14:00,14:30,Engineering,AST002,Medium,Ongoing
210,M259,404,W0405,S14,2026-09-07,30,180,34.0,2026-09-23,840,870,14:00,14:30,Engineering,AST020,Medium,Pending
211,M030,400,W0401,S13,2026-09-19,90,180,34.0,2026-09-22,840,930,14:00,15:30,Engineering,AST015,Medium,Overdue
212,M116,500,W0501,S17,2026-09-09,30,180,34.0,2026-09-24,840,870,14:00,14:30,Engineering,AST026,Medium,Pending
213,M238,157,W0158,S06,2026-09-08,90,180,34.0,2026-09-30,840,930,14:00,15:30,Traction,AST089,Medium,Ongoing
214,M151,101,W0102,S04,2026-09-11,30,180,34.0,2026-09-23,540,570,09:00,09:30,S&T,AST044,Medium,Pending
