block_id,date,section,block_start,block_end,block_duration_hours,maintenance_hours,block_utilization_pct,task_count,departments,task_ids
B038,2026-09-07,S18,09:00,12:00,3.0,3.0,100.0,2,"S&T, Traction","M166, M018"
B039,2026-09-07,S13,09:00,12:00,3.0,3.0,100.0,2,Traction,"M271, M217"
B040,2026-09-07,S04,09:55,11:25,1.5,1.5,100.0,1,Engineering,M099
B041,2026-09-07,S19,14:00,16:00,2.0,2.0,100.0,1,S&T,M067
B042,2026-09-07,S09,09:00,12:00,3.0,3.0,100.0,3,"S&T, Traction","M188, M248, M038"
B043,2026-09-07,S15,09:00,12:00,3.0,3.0,100.0,3,"Engineering, S&T","M042, M015, M023"
B044,2026-09-07,S11,09:00,12:00,3.0,3.0,100.0,3,Traction,"M021, M246, M265"
B045,2026-09-07,S19,09:00,10:00,1.0,1.0,100.0,1,S&T,M153
B046,2026-09-07,S03,09:00,12:00,3.0,3.0,100.0,3,S&T,"M031, M115, M298"
B047,2026-09-07,S18,09:00,12:00,3.0,3.0,100.0,2,"S&T, Traction","M084, M123"
B048,2026-09-07,S05,09:00,12:00,3.0,3.0,100.0,3,Traction,"M057, M291, M184"
B049,2026-09-07,S04,09:55,11:55,2.0,2.0,100.0,1,S&T,M197
B050,2026-09-07,S14,09:00,12:00,3.0,3.0,100.0,2,"Engineering, S&T","M135, M103"
B051,2026-09-07,S01,09:00,12:00,3.0,3.0,100.0,4,"Engineering, Traction","M075, M254, M118, M047"
B052,2026-09-07,S16,10:00,11:00,1.0,1.0,100.0,1,Traction,M060
B053,2026-09-07,S18,09:00,12:00,3.0,3.0,100.0,4,"Engineering, S&T","M007, M249, M237, M009"
B054,2026-09-07,S16,10:00,11:30,1.5,1.5,100.0,1,Traction,M195
B055,2026-09-07,S14,09:00,12:00,3.0,3.0,100.0,3,Traction,"M095, M295, M064"
B056,2026-09-07,S06,09:00,12:00,3.0,3.0,100.0,4,"Engineering, Traction","M211, M041, M245, M219"
B057,2026-09-07,S04,09:55,11:55,2.0,2.0,100.0,2,Traction,"M216, M290"
B058,2026-09-07,S14,09:00,12:00,3.0,3.0,100.0,2,Traction,"M156, M210"
B059,2026-09-07,S19,09:00,10:00,1.0,1.0,100.0,1,Engineering,M242
B060,2026-09-07,S08,09:00,12:00,3.0,3.0,100.0,2,Engineering,"M154, M026"
B061,2026-09-07,S02,09:00,12:00,3.0,3.0,100.0,3,Engineering,"M100, M256, M073"
B062,2026-09-07,S04,09:55,11:55,2.0,2.0,100.0,2,"S&T, Traction","M159, M096"
B063,2026-09-07,S04,09:55,11:55,2.0,2.0,100.0,1,Traction,M037
B064,2026-09-07,S07,09:00,12:00,3.0,3.0,100.0,3,"Engineering, Traction","M276, M233, M077"
B065,2026-09-07,S03,09:00,12:00,3.0,3.0,100.0,4,"Engineering, S&T","M029, M229, M300, M004"
B066,2026-09-07,S10,09:00,12:00,3.0,3.0,100.0,2,"Engineering, S&T","M006, M164"
B067,2026-09-07,S01,09:00,12:00,3.0,3.0,100.0,2,S&T,"M070, M046"
B068,2026-09-07,S04,09:55,11:55,2.0,2.0,100.0,2,"Engineering, S&T","M185, M253"
B069,2026-09-07,S13,09:00,11:00,2.0,2.0,100.0,4,Traction,"M260, M176, M136, M102"
B070,2026-09-07,S08,09:00,12:00,3.0,3.0,100.0,3,"Engineering, S&T","M192, M177, M027"
B071,2026-09-07,S03,09:00,12:00,3.0,3.0,100.0,3,"Engineering, S&T","M091, M293, M199"
B072,2026-09-07,S14,09:00,12:00,3.0,3.0,100.0,3,Traction,"M128, M286, M124"
B073,2026-09-07,S15,09:00,12:00,3.0,3.0,100.0,4,"Engineering, S&T, Traction","M097, M226, M069, M090"
B074,2026-09-07,S20,09:00,11:00,2.0,2.0,100.0,2,S&T,"M230, M147"
B075,2026-09-07,S18,09:00,12:00,3.0,3.0,100.0,3,"Engineering, S&T","M228, M269, M251"
B076,2026-09-07,S09,09:00,12:00,3.0,3.0,100.0,3,"S&T, Traction","M203, M028, M022"
B077,2026-09-07,S03,09:00,12:00,3.0,3.0,100.0,2,"Engineering, S&T","M222, M221"
B078,2026-09-07,S16,10:00,11:30,1.5,1.5,100.0,1,Traction,M014
B079,2026-09-07,S11,09:00,12:00,3.0,3.0,100.0,3,"Engineering, S&T, Traction","M035, M109, M278"
B080,2026-09-07,S04,09:55,11:25,1.5,1.5,100.0,1,S&T,M200
B081,2026-09-07,S14,09:00,12:00,3.0,3.0,100.0,3,Traction,"M152, M053, M068"
B082,2026-09-07,S02,09:00,10:30,1.5,1.5,100.0,1,Engineering,M165
B083,2026-09-07,S20,09:00,11:00,2.0,2.0,100.0,2,Traction,"M282, M032"
B084,2026-09-07,S06,09:00,12:00,3.0,3.0,100.0,2,Traction,"M294, M238"
B085,2026-09-07,S08,09:00,11:30,2.5,2.5,100.0,2,"Engineering, Traction","M092, M050"
B086,2026-09-07,S19,09:00,10:00,1.0,1.0,100.0,1,S&T,M122
B087,2026-09-07,S10,09:00,12:00,3.0,3.0,100.0,4,"Engineering, S&T, Traction","M266, M225, M189, M145"
B088,2026-09-07,S04,09:55,11:55,2.0,2.0,100.0,2,S&T,"M127, M024"
B089,2026-09-07,S15,09:00,12:00,3.0,3.0,100.0,5,"Engineering, S&T, Traction","M134, M081, M066, M040, M262"
B090,2026-09-07,S08,09:00,12:00,3.0,3.0,100.0,3,"Engineering, S&T","M101, M289, M044"
B091,2026-09-07,S18,09:00,12:00,3.0,3.0,100.0,5,"Engineering, S&T, Traction","M244, M129, M190, M250, M267"
B092,2026-09-07,S17,09:00,10:00,1.0,1.0,100.0,2,"Engineering, S&T","M236, M116"
B093,2026-09-07,S11,09:00,10:30,1.5,1.5,100.0,1,Engineering,M178
B094,2026-09-07,S14,09:00,11:30,2.5,2.5,100.0,3,"Engineering, S&T","M013, M259, M141"
B095,2026-09-07,S10,09:00,12:00,3.0,3.0,100.0,3,Engineering,"M169, M194, M240"
B096,2026-09-07,S18,09:00,12:00,3.0,3.0,100.0,3,"S&T, Traction","M094, M061, M171"
B097,2026-09-07,S04,09:55,11:55,2.0,2.0,100.0,2,"S&T, Traction","M051, M255"
B098,2026-09-07,S18,09:00,12:00,3.0,3.0,100.0,3,Traction,"M085, M016, M076"
B099,2026-09-07,S15,09:00,12:00,3.0,3.0,100.0,2,Engineering,"M001, M107"
B100,2026-09-07,S08,09:00,10:30,1.5,1.5,100.0,1,Engineering,M012
B101,2026-09-07,S13,09:00,10:30,1.5,1.5,100.0,1,Engineering,M030
B102,2026-09-07,S04,09:00,09:30,0.5,0.5,100.0,1,S&T,M151
B103,2026-09-07,S01,09:00,10:30,1.5,1.5,100.0,2,"Engineering, S&T","M148, M172"
B104,2026-09-07,S19,09:00,10:00,1.0,1.0,100.0,1,S&T,M281
B105,2026-09-07,S19,09:00,10:00,1.0,1.0,100.0,1,S&T,M174
B106,2026-09-07,S06,09:00,12:00,3.0,3.0,100.0,4,"Engineering, Traction","M157, M167, M208, M272"
B107,2026-09-07,S07,09:00,12:00,3.0,3.0,100.0,4,"Engineering, S&T, Traction","M173, M161, M196, M080"
B108,2026-09-07,S04,09:55,11:25,1.5,1.5,100.0,1,S&T,M273
B109,2026-09-07,S04,09:55,11:55,2.0,2.0,100.0,2,S&T,"M093, M186"
B110,2026-09-07,S15,09:00,11:30,2.5,2.5,100.0,2,"Engineering, Traction","M065, M227"
B111,2026-09-07,S20,09:00,10:30,1.5,1.5,100.0,2,S&T,"M261, M215"
B112,2026-09-07,S18,09:00,10:30,1.5,1.5,100.0,2,Traction,"M087, M280"
B113,2026-09-07,S10,09:00,11:00,2.0,2.0,100.0,2,S&T,"M048, M114"
B114,2026-09-07,S04,09:55,11:55,2.0,2.0,100.0,2,"Engineering, Traction","M170, M257"
B115,2026-09-07,S06,09:00,10:00,1.0,1.0,100.0,2,"Engineering, Traction","M110, M204"
B116,2026-09-07,S04,09:00,09:30,0.5,0.5,100.0,1,Traction,M130
B117,2026-09-07,S03,09:00,10:00,1.0,1.0,100.0,1,S&T,M275
