window_id,section,date,start_min,end_min,capacity_min
W0087,S03,2026-09-18,840,1020,180
W0088,S03,2026-09-19,540,720,180
W0089,S03,2026-09-19,840,1020,180
W0090,S03,2026-09-20,540,720,180
W0091,S03,2026-09-20,840,1020,180
W0092,S04,2026-09-07,540,590,50
W0093,S04,2026-09-07,595,720,125
W0094,S04,2026-09-07,840,1020,180
W0095,S04,2026-09-08,540,720,180
W0096,S04,2026-09-08,840,1000,160
W0097,S04,2026-09-08,1010,1020,10
W0098,S04,2026-09-09,540,720,180
W0099,S04,2026-09-09,840,1020,180
W0100,S04,2026-09-10,540,720,180
W0101,S04,2026-09-10,840,1020,180
W0102,S04,2026-09-11,540,720,180
W0103,S04,2026-09-11,840,1020,180
W0104,S04,2026-09-12,540,720,180
W0105,S04,2026-09-12,840,1020,180
W0106,S04,2026-09-13,540,720,180
W0107,S04,2026-09-13,840,1020,180
W0108,S04,2026-09-14,540,720,180
W0109,S04,2026-09-14,840,1020,180
W0110,S04,2026-09-15,540,720,180
W0111,S04,2026-09-15,840,1020,180
W0112,S04,2026-09-16,540,720,180
W0113,S04,2026-09-16,840,1020,180
W0114,S04,2026-09-17,540,720,180
W0115,S04,2026-09-17,840,1020,180
W0116,S04,2026-09-18,540,720,180
W0117,S04,2026-09-18,840,1020,180
W0118,S04,2026-09-19,545,720,175
W0119,S04,2026-09-19,840,1020,180
W0120,S04,2026-09-20,540,720,180
W0121,S04,2026-09-20,840,1020,180
W0122,S05,2026-09-07,540,720,180
W0123,S05,2026-09-07,840,1020,180
W0124,S05,2026-09-08,540,720,180
W0125,S05,2026-09-08,840,1020,180
W0126,S05,2026-09-09,540,720,180
W0127,S05,2026-09-09,840,1020,180
W0128,S05,2026-09-10,540,720,180
W0129,S05,2026-09-10,840,930,90
W0130,S05,2026-09-10,945,1020,75
W0131,S05,2026-09-11,540,720,180
W0132,S05,2026-09-11,840,1020,180
W0133,S05,2026-09-12,540,600,60
W0134,S05,2026-09-12,610,720,110
W0135,S05,2026-09-12,840,1020,180
W0136,S05,2026-09-13,540,720,180
W0137,S05,2026-09-13,840,1020,180
W0138,S05,2026-09-14,540,720,180
W0139,S05,2026-09-14,840,1020,180
W0140,S05,2026-09-15,540,720,180
W0141,S05,2026-09-15,840,930,90
W0142,S05,2026-09-15,945,1020,75
W0143,S05,2026-09-16,540,720,180
W0144,S05,2026-09-16,840,1020,180
W0145,S05,2026-09-17,540,620,80
W0146,S05,2026-09-17,630,720,90
W0147,S05,2026-09-17,840,1020,180
W0148,S05,2026-09-18,540,720,180
W0149,S05,2026-09-18,840,1020,180
W0150,S05,2026-09-19,540,720,180
W0151,S05,2026-09-19,840,1020,180
W0152,S05,2026-09-20,540,720,180
W0153,S05,2026-09-20,840,1020,180
W0154,S06,2026-09-07,540,720,180
W0155,S06,2026-09-07,840,940,100
W0156,S06,2026-09-07,945,1020,75
W0157,S06,2026-09-08,540,720,180
W0158,S06,2026-09-08,840,1020,180
W0159,S06,2026-09-09,540,720,180
W0160,S06,2026-09-09,840,1020,180
W0161,S06,2026-09-10,540,670,130
W0162,S06,2026-09-10,675,720,45
W0163,S06,2026-09-10,840,1020,180
W0164,S06,2026-09-11,540,720,180
W0165,S06,2026-09-11,840,1020,180
W0166,S06,2026-09-12,540,590,50
W0167,S06,2026-09-12,600,720,120
W0168,S06,2026-09-12,840,1020,180
W0169,S06,2026-09-13,540,720,180
W0170,S06,2026-09-13,840,1020,180
W0171,S06,2026-09-14,540,720,180
W0172,S06,2026-09-14,840,1020,180
W0173,S06,2026-09-15,540,720,180
W0174,S06,2026-09-15,840,1020,180
W0175,S06,2026-09-16,540,720,180
W0176,S06,2026-09-16,840,1020,180
W0177,S06,2026-09-17,540,720,180
W0178,S06,2026-09-17,840,1020,180
W0179,S06,2026-09-18,540,720,180
W0180,S06,2026-09-18,840,1020,180
W0181,S06,2026-09-19,540,720,180
W0182,S06,2026-09-19,840,1020,180
W0183,S06,2026-09-20,540,720,180
W0184,S06,2026-09-20,840,1020,180
W0185,S07,2026-09-07,540,720,180
W0186,S07,2026-09-07,840,1020,180
W0187,S07,2026-09-08,540,720,180
W0188,S07,2026-09-08,840,1020,180
W0189,S07,2026-09-09,540,720,180
W0190,S07,2026-09-09,840,1020,180
W0191,S07,2026-09-10,540,720,180
W0192,S07,2026-09-10,840,1020,180
W0193,S07,2026-09-11,540,720,180
W0194,S07,2026-09-11,840,890,50
W0195,S07,2026-09-11,905,1020,115
W0196,S07,2026-09-12,540,720,180
W0197,S07,2026-09-12,840,1020,180
W0198,S07,2026-09-13,540,720,180
W0199,S07,2026-09-13,840,1020,180
W0200,S07,2026-09-14,540,690,150
W0201,S07,2026-09-14,705,720,15
W0202,S07,2026-09-14,840,1020,180
W0203,S07,2026-09-15,540,720,180
W0204,S07,2026-09-15,840,1020,180
W0205,S07,2026-09-16,540,680,140
W0206,S07,2026-09-16,695,720,25
W0207,S07,2026-09-16,840,1020,180
W0208,S07,2026-09-17,540,720,180
W0209,S07,2026-09-17,840,1020,180
W0210,S07,2026-09-18,540,720,180
W0211,S07,2026-09-18,840,960,120
W0212,S07,2026-09-18,970,1020,50
W0213,S07,2026-09-19,540,640,100
W0214,S07,2026-09-19,645,720,75
W0215,S07,2026-09-19,840,1020,180
W0216,S07,2026-09-20,540,720,180
W0217,S07,2026-09-20,840,1020,180
W0218,S08,2026-09-07,540,720,180
W0219,S08,2026-09-07,840,1020,180
W0220,S08,2026-09-08,540,720,180
W0221,S08,2026-09-08,840,1020,180
W0222,S08,2026-09-09,540,690,150
W0223,S08,2026-09-09,700,720,20
W0224,S08,2026-09-09,840,1020,180
W0225,S08,2026-09-10,540,550,10
W0226,S08,2026-09-10,565,720,155
W0227,S08,2026-09-10,840,1020,180
W0228,S08,2026-09-11,540,720,180
W0229,S08,2026-09-11,840,1020,180
W0230,S08,2026-09-12,540,720,180
W0231,S08,2026-09-12,840,1020,180
W0232,S08,2026-09-13,540,720,180
W0233,S08,2026-09-13,840,1020,180
W0234,S08,2026-09-14,540,720,180
W0235,S08,2026-09-14,840,1020,180
W0236,S08,2026-09-15,540,720,180
W0237,S08,2026-09-15,840,1020,180
W0238,S08,2026-09-16,540,720,180
W0239,S08,2026-09-16,840,1020,180
W0240,S08,2026-09-17,540,630,90
W0241,S08,2026-09-17,640,720,80
W0242,S08,2026-09-17,840,1020,180
W0243,S08,2026-09-18,540,720,180
W0244,S08,2026-09-18,840,980,140
W0245,S08,2026-09-18,985,1020,35
W0246,S08,2026-09-19,540,720,180
W0247,S08,2026-09-19,840,1020,180
W0248,S08,2026-09-20,540,720,180
W0249,S08,2026-09-20,840,1020,180
W0250,S09,2026-09-07,540,720,180
W0251,S09,2026-09-07,840,1020,180
W0252,S09,2026-09-08,540,720,180
W0253,S09,2026-09-08,855,1020,165
W0254,S09,2026-09-09,540,720,180
W0255,S09,2026-09-09,840,1020,180
W0256,S09,2026-09-10,540,720,180
W0257,S09,2026-09-10,840,1020,180
W0258,S09,2026-09-11,540,720,180
W0259,S09,2026-09-11,840,850,10
W0260,S09,2026-09-11,855,1020,165
W0261,S09,2026-09-12,540,720,180
W0262,S09,2026-09-12,840,1020,180
W0263,S09,2026-09-13,540,720,180
W0264,S09,2026-09-13,840,1020,180
W0265,S09,2026-09-14,565,720,155
W0266,S09,2026-09-14,840,1020,180
W0267,S09,2026-09-15,540,720,180
W0268,S09,2026-09-15,840,1020,180
W0269,S09,2026-09-16,540,720,180
W0270,S09,2026-09-16,840,890,50
W0271,S09,2026-09-16,905,1020,115
W0272,S09,2026-09-17,540,720,180
W0273,S09,2026-09-17,840,1020,180
W0274,S09,2026-09-18,540,720,180
W0275,S09,2026-09-18,840,1020,180
W0276,S09,2026-09-19,540,720,180
W0277,S09,2026-09-19,840,1020,180
W0278,S09,2026-09-20,540,600,60
W0279,S09,2026-09-20,610,720,110
W0280,S09,2026-09-20,840,1020,180
W0281,S10,2026-09-07,540,720,180
W0282,S10,2026-09-07,840,1020,180
W0283,S10,2026-09-08,540,700,160
W0284,S10,2026-09-08,705,720,15
W0285,S10,2026-09-08,840,1020,180
W0286,S10,2026-09-09,540,720,180
W0287,S10,2026-09-09,840,1020,180
W0288,S10,2026-09-10,540,720,180
W0289,S10,2026-09-10,840,1020,180
W0290,S10,2026-09-11,540,720,180
W0291,S10,2026-09-11,840,1020,180
W0292,S10,2026-09-12,540,720,180
W0293,S10,2026-09-12,840,1020,180
W0294,S10,2026-09-13,545,720,175
W0295,S10,2026-09-13,840,1020,180
W0296,S10,2026-09-14,540,720,180
W0297,S10,2026-09-14,840,1020,180
W0298,S10,2026-09-15,540,720,180
W0299,S10,2026-09-15,840,1020,180
W0300,S10,2026-09-16,540,720,180
W0301,S10,2026-09-16,840,1020,180
W0302,S10,2026-09-17,540,720,180
W0303,S10,2026-09-17,840,1020,180
W0304,S10,2026-09-18,540,720,180
W0305,S10,2026-09-18,840,1020,180
W0306,S10,2026-09-19,540,720,180
W0307,S10,2026-09-19,840,1020,180
W0308,S10,2026-09-20,540,720,180
W0309,S10,2026-09-20,840,1020,180
W0310,S11,2026-09-07,540,720,180
W0311,S11,2026-09-07,840,1020,180
W0312,S11,2026-09-08,540,720,180
W0313,S11,2026-09-08,840,1020,180
W0314,S11,2026-09-09,540,720,180
W0315,S11,2026-09-09,840,1020,180
W0316,S11,2026-09-10,540,690,150
W0317,S11,2026-09-10,705,720,15
W0318,S11,2026-09-10,840,1020,180
W0319,S11,2026-09-11,540,720,180
W0320,S11,2026-09-11,840,1020,180
W0321,S11,2026-09-12,540,720,180
W0322,S11,2026-09-12,840,1020,180
W0323,S11,2026-09-13,540,720,180
W0324,S11,2026-09-13,840,1020,180
W0325,S11,2026-09-14,540,720,180
W0326,S11,2026-09-14,840,1020,180
W0327,S11,2026-09-15,540,720,180
W0328,S11,2026-09-15,840,1020,180
W0329,S11,2026-09-16,540,720,180
W0330,S11,2026-09-16,840,1020,180
W0331,S11,2026-09-17,540,720,180
W0332,S11,2026-09-17,840,1020,180
W0333,S11,2026-09-18,540,720,180
W0334,S11,2026-09-18,840,1020,180
W0335,S11,2026-09-19,540,720,180
W0336,S11,2026-09-19,840,1000,160
W0337,S11,2026-09-19,1005,1020,15
W0338,S11,2026-09-20,540,720,180
W0339,S11,2026-09-20,840,860,20
W0340,S11,2026-09-20,870,1020,150
W0341,S12,2026-09-07,540,720,180
W0342,S12,2026-09-07,840,1020,180
W0343,S12,2026-09-08,540,720,180
W0344,S12,2026-09-08,840,1020,180
W0345,S12,2026-09-09,540,720,180
W0346,S12,2026-09-09,845,1020,175
W0347,S12,2026-09-10,540,720,180
W0348,S12,2026-09-10,840,1020,180
W0349,S12,2026-09-11,540,720,180
W0350,S12,2026-09-11,840,1020,180
W0351,S12,2026-09-12,540,720,180
W0352,S12,2026-09-12,840,1020,180
W0353,S12,2026-09-13,540,720,180
W0354,S12,2026-09-13,840,910,70
W0355,S12,2026-09-13,915,1020,105
W0356,S12,2026-09-14,540,720,180
W0357,S12,2026-09-14,840,1020,180
W0358,S12,2026-09-15,540,720,180
W0359,S12,2026-09-15,840,850,10
W0360,S12,2026-09-15,865,1020,155
W0361,S12,2026-09-16,540,720,180
W0362,S12,2026-09-16,840,1020,180
W0363,S12,2026-09-17,540,720,180
W0364,S12,2026-09-17,840,1020,180
W0365,S12,2026-09-18,540,720,180
W0366,S12,2026-09-18,840,1020,180
W0367,S12,2026-09-19,540,690,150
W0368,S12,2026-09-19,700,720,20
W0369,S12,2026-09-19,840,1020,180
W0370,S12,2026-09-20,540,610,70
W0371,S12,2026-09-20,615,720,105
W0372,S12,2026-09-20,840,1020,180
W0373,S13,2026-09-07,540,720,180
W0374,S13,2026-09-07,840,1020,180
W0375,S13,2026-09-08,540,720,180
W0376,S13,2026-09-08,840,1020,180
W0377,S13,2026-09-09,540,720,180
W0378,S13,2026-09-09,840,990,150
W0379,S13,2026-09-09,1000,1020,20
W0380,S13,2026-09-10,540,720,180
W0381,S13,2026-09-10,840,1020,180
W0382,S13,2026-09-11,540,720,180
W0383,S13,2026-09-11,840,1020,180
W0384,S13,2026-09-12,540,720,180
W0385,S13,2026-09-12,840,1020,180
W0386,S13,2026-09-13,540,720,180
W0387,S13,2026-09-13,840,1020,180
W0388,S13,2026-09-14,540,720,180
W0389,S13,2026-09-14,840,1020,180
W0390,S13,2026-09-15,540,720,180
W0391,S13,2026-09-15,840,850,10
W0392,S13,2026-09-15,855,870,15
W0393,S13,2026-09-15,875,1020,145
W0394,S13,2026-09-16,540,720,180
W0395,S13,2026-09-16,840,1020,180
W0396,S13,2026-09-17,540,720,180
W0397,S13,2026-09-17,840,1020,180
W0398,S13,2026-09-18,540,720,180
W0399,S13,2026-09-18,840,1020,180
W0400,S13,2026-09-19,540,720,180
W0401,S13,2026-09-19,840,1020,180
W0402,S13,2026-09-20,540,720,180
W0403,S13,2026-09-20,840,1020,180
W0404,S14,2026-09-07,540,720,180
W0405,S14,2026-09-07,840,1020,180
W0406,S14,2026-09-08,540,720,180
W0407,S14,2026-09-08,840,1020,180
W0408,S14,2026-09-09,540,720,180
W0409,S14,2026-09-09,840,970,130
W0410,S14,2026-09-09,975,1020,45
W0411,S14,2026-09-10,540,720,180
W0412,S14,2026-09-10,840,1020,180
W0413,S14,2026-09-11,540,720,180
W0414,S14,2026-09-11,840,1020,180
W0415,S14,2026-09-12,540,720,180
W0416,S14,2026-09-12,840,1020,180
W0417,S14,2026-09-13,540,720,180
W0418,S14,2026-09-13,840,990,150
W0419,S14,2026-09-13,1000,1020,20
W0420,S14,2026-09-14,540,720,180
W0421,S14,2026-09-14,840,1020,180
W0422,S14,2026-09-15,540,720,180
W0423,S14,2026-09-15,840,1020,180
W0424,S14,2026-09-16,540,720,180
W0425,S14,2026-09-16,840,1020,180
W0426,S14,2026-09-17,540,720,180
W0427,S14,2026-09-17,840,1020,180
W0428,S14,2026-09-18,540,720,180
W0429,S14,2026-09-18,840,1020,180
W0430,S14,2026-09-19,540,720,180
W0431,S14,2026-09-19,840,1020,180
W0432,S14,2026-09-20,540,720,180
W0433,S14,2026-09-20,840,1020,180
W0434,S15,2026-09-07,540,720,180
W0435,S15,2026-09-07,840,1020,180
W0436,S15,2026-09-08,540,720,180
W0437,S15,2026-09-08,840,1020,180
W0438,S15,2026-09-09,540,720,180
W0439,S15,2026-09-09,840,1020,180
W0440,S15,2026-09-10,540,720,180
W0441,S15,2026-09-10,840,1020,180
W0442,S15,2026-09-11,540,720,180
W0443,S15,2026-09-11,840,1020,180
W0444,S15,2026-09-12,540,720,180
W0445,S15,2026-09-12,840,1020,180
W0446,S15,2026-09-13,540,720,180
W0447,S15,2026-09-13,840,1020,180
W0448,S15,2026-09-14,540,720,180
W0449,S15,2026-09-14,840,930,90
W0450,S15,2026-09-14,935,1020,85
W0451,S15,2026-09-15,540,720,180
W0452,S15,2026-09-15,840,1020,180
W0453,S15,2026-09-16,540,720,180
W0454,S15,2026-09-16,840,1020,180
W0455,S15,2026-09-17,540,720,180
W0456,S15,2026-09-17,840,1020,180
W0457,S15,2026-09-18,540,720,180
W0458,S15,2026-09-18,840,1020,180
W0459,S15,2026-09-19,540,720,180
W0460,S15,2026-09-19,840,1020,180
W0461,S15,2026-09-20,540,720,180
W0462,S15,2026-09-20,840,1020,180
W0463,S16,2026-09-07,540,590,50
W0464,S16,2026-09-07,600,720,120
W0465,S16,2026-09-07,840,1020,180
W0466,S16,2026-09-08,540,720,180
W0467,S16,2026-09-08,840,920,80
W0468,S16,2026-09-08,935,1020,85
W0469,S16,2026-09-09,540,640,100
W0470,S16,2026-09-09,645,720,75
W0471,S16,2026-09-09,840,1020,180
W0472,S16,2026-09-10,540,720,180
W0473,S16,2026-09-10,840,1020,180
W0474,S16,2026-09-11,540,720,180
W0475,S16,2026-09-11,840,1020,180
W0476,S16,2026-09-12,540,670,130
W0477,S16,2026-09-12,680,720,40
W0478,S16,2026-09-12,840,1020,180
W0479,S16,2026-09-13,540,720,180
W0480,S16,2026-09-13,840,1020,180
W0481,S16,2026-09-14,540,720,180
W0482,S16,2026-09-14,840,1020,180
W0483,S16,2026-09-15,540,720,180
W0484,S16,2026-09-15,840,1020,180
W0485,S16,2026-09-16,540,720,180
W0486,S16,2026-09-16,840,1020,180
W0487,S16,2026-09-17,540,720,180
W0488,S16,2026-09-17,840,1020,180
W0489,S16,2026-09-18,540,720,180
W0490,S16,2026-09-18,840,1020,180
W0491,S16,2026-09-19,540,720,180
W0492,S16,2026-09-19,840,1020,180
W0493,S16,2026-09-20,540,720,180
W0494,S16,2026-09-20,840,1020,180
W0495,S17,2026-09-07,540,720,180
W0496,S17,2026-09-07,840,980,140
W0497,S17,2026-09-07,985,1020,35
W0498,S17,2026-09-08,540,720,180
W0499,S17,2026-09-08,840,1020,180
W0500,S17,2026-09-09,540,720,180
W0501,S17,2026-09-09,840,1020,180
W0502,S17,2026-09-10,540,720,180
W0503,S17,2026-09-10,840,1020,180
W0504,S17,2026-09-11,540,720,180
W0505,S17,2026-09-11,840,1020,180
W0506,S17,2026-09-12,540,720,180
W0507,S17,2026-09-12,840,1020,180
W0508,S17,2026-09-13,540,720,180
W0509,S17,2026-09-13,840,1020,180
W0510,S17,2026-09-14,540,720,180
W0511,S17,2026-09-14,840,1020,180
W0512,S17,2026-09-15,540,720,180
W0513,S17,2026-09-15,840,1020,180
W0514,S17,2026-09-16,540,720,180
W0515,S17,2026-09-16,840,1020,180
W0516,S17,2026-09-17,540,720,180
W0517,S17,2026-09-17,840,1020,180
W0518,S17,2026-09-18,540,720,180
W0519,S17,2026-09-18,840,1020,180
W0520,S17,2026-09-19,540,720,180
W0521,S17,2026-09-19,840,1020,180
W0522,S17,2026-09-20,540,720,180
W0523,S17,2026-09-20,840,960,120
W0524,S17,2026-09-20,975,1020,45
W0525,S18,2026-09-07,540,720,180
W0526,S18,2026-09-07,840,1020,180
W0527,S18,2026-09-08,540,720,180
W0528,S18,2026-09-08,840,1020,180
W0529,S18,2026-09-09,540,720,180
W0530,S18,2026-09-09,840,1020,180
W0531,S18,2026-09-10,540,720,180
W0532,S18,2026-09-10,840,1020,180
W0533,S18,2026-09-11,540,630,90
W0534,S18,2026-09-11,635,720,85
W0535,S18,2026-09-11,840,860,20
W0536,S18,2026-09-11,865,1020,155
W0537,S18,2026-09-12,540,720,180
W0538,S18,2026-09-12,840,1020,180
W0539,S18,2026-09-13,540,720,180
W0540,S18,2026-09-13,840,1020,180
W0541,S18,2026-09-14,540,710,170
W0542,S18,2026-09-14,840,1020,180
W0543,S18,2026-09-15,540,720,180
W0544,S18,2026-09-15,840,1020,180
W0545,S18,2026-09-16,540,720,180
W0546,S18,2026-09-16,840,1020,180
W0547,S18,2026-09-17,540,720,180
W0548,S18,2026-09-17,840,1020,180
W0549,S18,2026-09-18,540,720,180
W0550,S18,2026-09-18,840,1020,180
W0551,S18,2026-09-19,540,650,110
W0552,S18,2026-09-19,660,720,60
W0553,S18,2026-09-19,840,1020,180
W0554,S18,2026-09-20,540,720,180
W0555,S18,2026-09-20,840,1020,180
W0556,S19,2026-09-07,540,610,70
W0557,S19,2026-09-07,615,640,25
W0558,S19,2026-09-07,650,720,70
W0559,S19,2026-09-07,840,1020,180
W0560,S19,2026-09-08,540,720,180
W0561,S19,2026-09-08,840,1020,180
W0562,S19,2026-09-09,540,720,180
W0563,S19,2026-09-09,840,1020,180
W0564,S19,2026-09-10,540,720,180
W0565,S19,2026-09-10,840,1020,180
W0566,S19,2026-09-11,540,720,180
W0567,S19,2026-09-11,840,1020,180
W0568,S19,2026-09-12,540,720,180
W0569,S19,2026-09-12,840,1020,180
W0570,S19,2026-09-13,540,720,180
W0571,S19,2026-09-13,840,1000,160
W0572,S19,2026-09-13,1015,1020,5
W0573,S19,2026-09-14,540,720,180
W0574,S19,2026-09-14,840,1020,180
W0575,S19,2026-09-15,550,600,50
W0576,S19,2026-09-15,610,720,110
W0577,S19,2026-09-15,840,1020,180
W0578,S19,2026-09-16,540,580,40
W0579,S19,2026-09-16,585,720,135
W0580,S19,2026-09-16,840,1020,180
W0581,S19,2026-09-17,540,720,180
W0582,S19,2026-09-17,840,1020,180
W0583,S19,2026-09-18,540,720,180
W0584,S19,2026-09-18,840,1020,180
W0585,S19,2026-09-19,540,720,180
W0586,S19,2026-09-19,840,1020,180
W0587,S19,2026-09-20,540,720,180
W0588,S19,2026-09-20,840,1020,180
W0589,S20,2026-09-07,540,680,140
W0590,S20,2026-09-07,685,720,35
W0591,S20,2026-09-07,840,890,50
W0592,S20,2026-09-07,905,1020,115
W0593,S20,2026-09-08,540,720,180
W0594,S20,2026-09-08,845,1020,175
W0595,S20,2026-09-09,540,720,180
W0596,S20,2026-09-09,840,1020,180
W0597,S20,2026-09-10,540,720,180
W0598,S20,2026-09-10,840,870,30
W0599,S20,2026-09-10,880,1020,140
W0600,S20,2026-09-11,540,720,180
W0601,S20,2026-09-11,840,950,110
W0602,S20,2026-09-11,955,1020,65
W0603,S20,2026-09-12,540,720,180
W0604,S20,2026-09-12,840,1020,180
W0605,S20,2026-09-13,540,720,180
W0606,S20,2026-09-13,840,1020,180
W0607,S20,2026-09-14,540,720,180
W0608,S20,2026-09-14,840,1020,180
W0609,S20,2026-09-15,540,720,180
W0610,S20,2026-09-15,840,1020,180
W0611,S20,2026-09-16,540,570,30
W0612,S20,2026-09-16,575,720,145
W0613,S20,2026-09-16,840,860,20
W0614,S20,2026-09-16,875,1020,145
W0615,S20,2026-09-17,540,720,180
W0616,S20,2026-09-17,840,1020,180
W0617,S20,2026-09-18,540,720,180
W0618,S20,2026-09-18,840,1020,180
W0619,S20,2026-09-19,540,720,180
W0620,S20,2026-09-19,840,1020,180
W0621,S20,2026-09-20,540,720,180
W0622,S20,2026-09-20,840,1020,180
