block_id,window_id,date,section,block_start,block_end,block_duration_hours,available_capacity_hours,utilization_pct,task_count,departments,task_ids
OPT-W0235,W0235,2026-09-14,S08,14:00,16:00,2.0,3.0,66.67,1,Engineering,M154
OPT-W0250,W0250,2026-09-07,S09,09:00,12:00,3.0,3.0,100.0,4,"S&T, Traction","M248, M203, M022, M038"
OPT-W0251,W0251,2026-09-07,S09,14:00,17:00,3.0,3.0,100.0,2,"S&T, Traction","M188, M028"
OPT-W0281,W0281,2026-09-07,S10,09:00,12:00,3.0,3.0,100.0,3,"Engineering, Traction","M201, M225, M169"
OPT-W0282,W0282,2026-09-07,S10,14:00,17:00,3.0,3.0,100.0,2,"S&T, Traction","M179, M049"
OPT-W0283,W0283,2026-09-08,S10,09:00,11:30,2.5,2.67,93.75,3,"Engineering, S&T, Traction","M106, M240, M048"
OPT-W0285,W0285,2026-09-08,S10,14:00,17:00,3.0,3.0,100.0,2,"Engineering, S&T","M121, M164"
OPT-W0301,W0301,2026-09-16,S10,14:00,17:00,3.0,3.0,100.0,4,"S&T, Traction","M266, M189, M145, M114"
OPT-W0302,W0302,2026-09-17,S10,09:00,11:30,2.5,3.0,83.33,2,"Engineering, S&T","M006, M194"
OPT-W0310,W0310,2026-09-07,S11,09:00,12:00,3.0,3.0,100.0,3,Traction,"M021, M265, M035"
OPT-W0311,W0311,2026-09-07,S11,14:00,17:00,3.0,3.0,100.0,2,"S&T, Traction","M268, M212"
OPT-W0312,W0312,2026-09-08,S11,09:00,12:00,3.0,3.0,100.0,3,"Engineering, S&T, Traction","M206, M109, M278"
OPT-W0313,W0313,2026-09-08,S11,14:00,17:00,3.0,3.0,100.0,2,"S&T, Traction","M191, M246"
OPT-W0314,W0314,2026-09-09,S11,09:00,12:00,3.0,3.0,100.0,2,Engineering,"M020, M178"
OPT-W0315,W0315,2026-09-09,S11,14:00,15:30,1.5,3.0,50.0,1,Engineering,M083
OPT-W0341,W0341,2026-09-07,S12,09:00,11:30,2.5,3.0,83.33,2,Engineering,"M059, M155"
OPT-W0373,W0373,2026-09-07,S13,09:00,12:00,3.0,3.0,100.0,4,"Engineering, S&T, Traction","M232, M126, M181, M137"
OPT-W0374,W0374,2026-09-07,S13,14:00,17:00,3.0,3.0,100.0,2,Traction,"M143, M207"
OPT-W0375,W0375,2026-09-08,S13,09:00,12:00,3.0,3.0,100.0,3,Traction,"M279, M287, M260"
OPT-W0376,W0376,2026-09-08,S13,14:00,17:00,3.0,3.0,100.0,2,Traction,"M078, M217"
OPT-W0377,W0377,2026-09-09,S13,09:00,11:00,2.0,3.0,66.67,1,S&T,M139
OPT-W0401,W0401,2026-09-19,S13,14:00,17:00,3.0,3.0,100.0,4,"Engineering, Traction","M176, M136, M102, M030"
OPT-W0402,W0402,2026-09-20,S13,09:00,10:30,1.5,3.0,50.0,1,Traction,M271
OPT-W0404,W0404,2026-09-07,S14,09:00,12:00,3.0,3.0,100.0,5,"S&T, Traction","M135, M295, M064, M286, M068"
OPT-W0405,W0405,2026-09-07,S14,14:00,17:00,3.0,3.0,100.0,3,"Engineering, Traction","M297, M156, M259"
OPT-W0406,W0406,2026-09-08,S14,09:00,12:00,3.0,3.0,100.0,3,"Engineering, S&T, Traction","M124, M013, M141"
OPT-W0407,W0407,2026-09-08,S14,14:00,17:00,3.0,3.0,100.0,2,Traction,"M210, M152"
OPT-W0408,W0408,2026-09-09,S14,09:00,12:00,3.0,3.0,100.0,2,"Engineering, Traction","M131, M128"
OPT-W0409,W0409,2026-09-09,S14,14:00,16:00,2.0,2.17,92.31,1,Engineering,M103
OPT-W0411,W0411,2026-09-10,S14,09:00,11:30,2.5,3.0,83.33,2,Traction,"M120, M053"
OPT-W0412,W0412,2026-09-10,S14,14:00,16:00,2.0,3.0,66.67,1,Traction,M283
OPT-W0413,W0413,2026-09-11,S14,09:00,11:00,2.0,3.0,66.67,1,Traction,M095
OPT-W0434,W0434,2026-09-07,S15,09:00,12:00,3.0,3.0,100.0,6,"Engineering, S&T, Traction","M097, M090, M134, M066, M040, M262"
OPT-W0435,W0435,2026-09-07,S15,14:00,17:00,3.0,3.0,100.0,3,"Engineering, S&T","M042, M015, M023"
OPT-W0436,W0436,2026-09-08,S15,09:00,12:00,3.0,3.0,100.0,3,"S&T, Traction","M284, M069, M227"
OPT-W0437,W0437,2026-09-08,S15,14:00,16:30,2.5,3.0,83.33,2,"Engineering, S&T","M081, M107"
OPT-W0438,W0438,2026-09-09,S15,09:00,12:00,3.0,3.0,100.0,2,Engineering,"M001, M065"
OPT-W0439,W0439,2026-09-09,S15,14:00,17:00,3.0,3.0,100.0,2,"Engineering, S&T","M003, M226"
OPT-W0464,W0464,2026-09-07,S16,10:00,11:00,1.0,2.0,50.0,1,Traction,M060
OPT-W0465,W0465,2026-09-07,S16,14:00,17:00,3.0,3.0,100.0,2,Traction,"M195, M014"
OPT-W0501,W0501,2026-09-09,S17,14:00,15:00,1.0,3.0,33.33,2,"Engineering, S&T","M236, M116"
OPT-W0525,W0525,2026-09-07,S18,09:00,12:00,3.0,3.0,100.0,4,"Engineering, S&T, Traction","M209, M055, M119, M249"
OPT-W0526,W0526,2026-09-07,S18,14:00,17:00,3.0,3.0,100.0,3,"S&T, Traction","M104, M033, M018"
OPT-W0527,W0527,2026-09-08,S18,09:00,12:00,3.0,3.0,100.0,2,S&T,"M052, M123"
OPT-W0528,W0528,2026-09-08,S18,14:00,17:00,3.0,3.0,100.0,2,"Engineering, S&T","M180, M228"
OPT-W0529,W0529,2026-09-09,S18,09:00,12:00,3.0,3.0,100.0,6,"Engineering, S&T, Traction","M237, M269, M244, M129, M267, M280"
OPT-W0530,W0530,2026-09-09,S18,14:00,17:00,3.0,3.0,100.0,4,"S&T, Traction","M084, M009, M190, M171"
OPT-W0531,W0531,2026-09-10,S18,09:00,12:00,3.0,3.0,100.0,3,"Engineering, Traction","M251, M250, M087"
OPT-W0532,W0532,2026-09-10,S18,14:00,17:00,3.0,3.0,100.0,3,"S&T, Traction","M094, M016, M076"
OPT-W0536,W0536,2026-09-11,S18,14:25,16:55,2.5,2.58,96.77,2,"Engineering, Traction","M002, M007"
OPT-W0537,W0537,2026-09-12,S18,09:00,12:00,3.0,3.0,100.0,2,"S&T, Traction","M263, M214"
OPT-W0538,W0538,2026-09-12,S18,14:00,16:30,2.5,3.0,83.33,1,Traction,M166
OPT-W0539,W0539,2026-09-13,S18,09:00,11:30,2.5,3.0,83.33,2,Traction,"M061, M085"
OPT-W0559,W0559,2026-09-07,S19,14:00,17:00,3.0,3.0,100.0,3,"Engineering, S&T","M153, M242, M174"
OPT-W0560,W0560,2026-09-08,S19,09:00,12:00,3.0,3.0,100.0,2,S&T,"M067, M122"
OPT-W0561,W0561,2026-09-08,S19,14:00,17:00,3.0,3.0,100.0,2,Engineering,"M235, M008"
OPT-W0562,W0562,2026-09-09,S19,09:00,12:00,3.0,3.0,100.0,2,"Engineering, S&T","M088, M281"
OPT-W0589,W0589,2026-09-07,S20,09:00,11:00,2.0,2.33,85.71,2,"S&T, Traction","M039, M230"
OPT-W0590,W0590,2026-09-07,S20,11:25,11:55,0.5,0.58,85.71,1,S&T,M147
OPT-W0601,W0601,2026-09-11,S20,14:00,15:30,1.5,1.83,81.82,2,S&T,"M270, M261"
OPT-W0603,W0603,2026-09-12,S20,09:00,12:00,3.0,3.0,100.0,3,S&T,"M111, M146, M045"
OPT-W0604,W0604,2026-09-12,S20,14:00,16:30,2.5,3.0,83.33,3,"S&T, Traction","M282, M032, M215"
