train_id,train_type,section,date,arrival_time,departure_time,priority
TR1134,Express,S12,2026-09-09,13:50,14:05,High
TR1093,Superfast,S13,2026-09-09,07:40,07:45,High
TR1103,Passenger,S13,2026-09-09,16:30,16:40,Medium
TR1059,Superfast,S14,2026-09-09,16:10,16:15,High
TR1138,Passenger,S16,2026-09-09,10:40,10:45,Medium
TR1132,Local,S01,2026-09-10,16:30,16:45,Low
TR1074,Local,S02,2026-09-10,12:00,12:15,Low
TR1039,Superfast,S02,2026-09-10,21:30,21:45,High
TR1085,Express,S03,2026-09-10,16:20,16:25,High
TR1002,Goods,S03,2026-09-10,22:40,22:55,Medium
TR1006,Express,S04,2026-09-10,20:50,21:05,High
TR1158,Local,S05,2026-09-10,15:30,15:45,Low
TR1111,Local,S06,2026-09-10,11:10,11:15,Low
TR1171,Express,S08,2026-09-10,09:10,09:25,High
TR1096,Goods,S11,2026-09-10,11:30,11:45,Medium
TR1063,Goods,S14,2026-09-10,21:10,21:25,Medium
TR1100,Passenger,S16,2026-09-10,08:00,08:05,Medium
TR1061,Goods,S20,2026-09-10,14:30,14:40,Medium
TR1010,Local,S01,2026-09-11,11:00,11:05,Low
TR1197,Goods,S03,2026-09-11,15:00,15:15,Medium
TR1128,Goods,S03,2026-09-11,21:30,21:35,Medium
TR1151,Superfast,S06,2026-09-11,08:30,08:35,High
TR1024,Express,S06,2026-09-11,08:40,08:55,High
TR1033,Passenger,S07,2026-09-11,14:50,15:05,Medium
TR1145,Goods,S09,2026-09-11,14:10,14:15,Medium
TR1168,Goods,S10,2026-09-11,19:50,20:05,Medium
TR1092,Passenger,S11,2026-09-11,08:00,08:10,Medium
TR1125,Express,S11,2026-09-11,18:40,18:55,High
TR1186,Express,S15,2026-09-11,13:30,13:35,High
TR1141,Goods,S15,2026-09-11,21:40,21:50,Medium
TR1011,Local,S17,2026-09-11,21:30,21:40,Low
TR1073,Express,S18,2026-09-11,10:30,10:35,High
TR1097,Express,S18,2026-09-11,14:20,14:25,High
TR1190,Passenger,S20,2026-09-11,07:20,07:30,Medium
TR1113,Express,S20,2026-09-11,15:50,15:55,High
TR1075,Passenger,S01,2026-09-12,11:10,11:20,Medium
TR1021,Express,S01,2026-09-12,18:20,18:35,High
TR1087,Express,S03,2026-09-12,13:00,13:15,High
TR1159,Superfast,S05,2026-09-12,10:00,10:10,High
TR1160,Superfast,S06,2026-09-12,06:00,06:10,High
TR1020,Express,S06,2026-09-12,09:50,10:00,High
TR1149,Local,S07,2026-09-12,12:50,13:05,Low
TR1028,Superfast,S08,2026-09-12,12:30,12:45,High
TR1153,Local,S08,2026-09-12,12:50,13:00,Low
TR1050,Superfast,S08,2026-09-12,17:40,17:45,High
TR1131,Express,S09,2026-09-12,19:40,19:50,High
TR1154,Local,S11,2026-09-12,13:40,13:50,Low
TR1034,Goods,S15,2026-09-12,20:10,20:25,Medium
TR1170,Express,S16,2026-09-12,11:10,11:20,High
TR1200,Goods,S16,2026-09-12,17:10,17:25,Medium
TR1019,Superfast,S16,2026-09-12,21:40,21:55,High
TR1169,Superfast,S17,2026-09-12,18:50,18:55,High
TR1036,Local,S18,2026-09-12,05:20,05:25,Low
TR1064,Local,S01,2026-09-13,16:30,16:45,Low
TR1031,Superfast,S02,2026-09-13,07:30,07:40,High
TR1042,Superfast,S02,2026-09-13,09:10,09:20,High
TR1088,Passenger,S02,2026-09-13,19:50,20:00,Medium
TR1098,Express,S02,2026-09-13,22:30,22:35,High
TR1191,Local,S04,2026-09-13,17:30,17:40,Low
TR1175,Goods,S04,2026-09-13,19:30,19:35,Medium
TR1177,Superfast,S10,2026-09-13,08:50,09:05,High
TR1001,Superfast,S12,2026-09-13,15:10,15:15,High
TR1148,Goods,S13,2026-09-13,06:40,06:55,Medium
TR1140,Passenger,S14,2026-09-13,16:30,16:40,Medium
TR1008,Passenger,S19,2026-09-13,16:40,16:55,Medium
TR1155,Goods,S04,2026-09-14,06:50,07:05,Medium
TR1091,Express,S06,2026-09-14,07:00,07:10,High
TR1126,Local,S07,2026-09-14,11:30,11:45,Low
TR1060,Goods,S09,2026-09-14,09:00,09:15,Medium
TR1176,Express,S09,2026-09-14,09:10,09:25,High
TR1086,Passenger,S11,2026-09-14,05:20,05:25,Medium
TR1044,Passenger,S11,2026-09-14,13:10,13:15,Medium
TR1163,Goods,S14,2026-09-14,17:00,17:05,Medium
TR1089,Local,S14,2026-09-14,17:20,17:35,Low
TR1046,Goods,S15,2026-09-14,15:30,15:35,Medium
TR1196,Express,S16,2026-09-14,08:30,08:40,High
TR1102,Goods,S16,2026-09-14,13:00,13:15,Medium
TR1115,Goods,S17,2026-09-14,05:50,06:05,Medium
TR1182,Superfast,S18,2026-09-14,11:50,12:00,High
TR1194,Local,S19,2026-09-14,19:10,19:25,Low
TR1014,Express,S05,2026-09-15,15:30,15:45,High
TR1107,Local,S08,2026-09-15,06:30,06:45,Low
TR1069,Local,S09,2026-09-15,06:10,06:25,Low
TR1150,Goods,S12,2026-09-15,14:10,14:25,Medium
TR1167,Express,S13,2026-09-15,14:10,14:15,High
TR1157,Passenger,S13,2026-09-15,14:30,14:35,Medium
TR1114,Superfast,S13,2026-09-15,17:40,17:50,High
TR1110,Passenger,S19,2026-09-15,09:00,09:10,Medium
TR1172,Express,S19,2026-09-15,10:00,10:10,High
TR1117,Express,S05,2026-09-16,08:00,08:15,High
TR1095,Express,S06,2026-09-16,18:10,18:15,High
TR1180,Passenger,S07,2026-09-16,11:20,11:35,Medium
TR1139,Superfast,S09,2026-09-16,14:50,15:05,High
TR1195,Passenger,S12,2026-09-16,05:50,06:05,Medium
TR1065,Superfast,S12,2026-09-16,21:20,21:30,High
TR1078,Superfast,S13,2026-09-16,08:20,08:30,High
TR1004,Local,S17,2026-09-16,21:10,21:25,Low
TR1072,Local,S19,2026-09-16,09:40,09:45,Low
TR1055,Express,S19,2026-09-16,13:00,13:05,High
TR1178,Goods,S20,2026-09-16,09:30,09:35,Medium
TR1143,Express,S20,2026-09-16,14:20,14:35,High
TR1094,Local,S20,2026-09-16,20:50,20:55,Low
TR1147,Local,S01,2026-09-17,20:20,20:30,Low
TR1112,Passenger,S03,2026-09-17,18:10,18:25,Medium
TR1012,Passenger,S03,2026-09-17,22:40,22:55,Medium
TR1189,Local,S05,2026-09-17,10:20,10:30,Low
TR1041,Goods,S05,2026-09-17,17:00,17:15,Medium
TR1056,Superfast,S07,2026-09-17,19:10,19:15,High
TR1084,Superfast,S08,2026-09-17,08:30,08:35,High
TR1081,Superfast,S08,2026-09-17,10:30,10:40,High
TR1137,Express,S09,2026-09-17,18:40,18:45,High
TR1005,Local,S10,2026-09-17,06:10,06:20,Low
TR1173,Express,S13,2026-09-17,13:40,13:55,High
TR1119,Local,S13,2026-09-17,20:40,20:55,Low
TR1030,Goods,S17,2026-09-17,06:10,06:15,Medium
TR1108,Local,S18,2026-09-17,20:40,20:45,Low
TR1184,Goods,S19,2026-09-17,20:10,20:15,Medium
TR1121,Superfast,S20,2026-09-17,17:00,17:10,High
TR1185,Passenger,S03,2026-09-18,08:20,08:35,Medium
TR1193,Local,S05,2026-09-18,06:10,06:15,Low
TR1080,Superfast,S06,2026-09-18,22:50,23:05,High
TR1164,Goods,S07,2026-09-18,16:00,16:10,Medium
TR1166,Express,S08,2026-09-18,16:20,16:25,High
TR1025,Express,S08,2026-09-18,21:00,21:05,High
TR1022,Goods,S09,2026-09-18,07:30,07:40,Medium
TR1015,Express,S10,2026-09-18,18:50,18:55,High
TR1181,Express,S12,2026-09-18,18:20,18:25,High
TR1188,Express,S14,2026-09-18,08:00,08:05,High
TR1040,Goods,S15,2026-09-18,07:40,07:45,Medium
TR1199,Passenger,S17,2026-09-18,08:30,08:45,Medium
TR1052,Local,S18,2026-09-18,22:10,22:15,Low
TR1198,Goods,S19,2026-09-18,12:50,13:00,Medium
TR1053,Express,S04,2026-09-19,09:00,09:05,High
TR1045,Passenger,S05,2026-09-19,08:10,08:15,Medium
TR1161,Local,S07,2026-09-19,10:40,10:45,Low
TR1003,Passenger,S10,2026-09-19,05:50,06:00,Medium
TR1071,Superfast,S11,2026-09-19,16:40,16:45,High
TR1043,Superfast,S11,2026-09-19,17:50,18:05,High
TR1047,Local,S12,2026-09-19,11:30,11:40,Low
TR1009,Express,S16,2026-09-19,07:00,07:15,High
TR1192,Express,S16,2026-09-19,18:50,18:55,High
TR1116,Passenger,S17,2026-09-19,18:00,18:10,Medium
TR1152,Express,S18,2026-09-19,10:50,11:00,High
TR1124,Local,S04,2026-09-20,12:10,12:20,Low
TR1090,Passenger,S04,2026-09-20,20:40,20:55,Medium
TR1077,Superfast,S04,2026-09-20,21:20,21:25,High
TR1187,Superfast,S06,2026-09-20,06:20,06:30,High
TR1027,Local,S06,2026-09-20,06:40,06:55,Low
TR1133,Superfast,S06,2026-09-20,20:40,20:55,High
TR1136,Passenger,S07,2026-09-20,12:50,12:55,Medium
TR1105,Passenger,S08,2026-09-20,13:40,13:45,Medium
TR1029,Express,S09,2026-09-20,07:40,07:50,High
TR1048,Superfast,S09,2026-09-20,08:00,08:05,High
TR1051,Local,S09,2026-09-20,10:00,10:10,Low
TR1118,Superfast,S10,2026-09-20,22:20,22:30,High
TR1123,Local,S11,2026-09-20,14:20,14:30,Low
TR1070,Goods,S12,2026-09-20,10:10,10:15,Medium
TR1058,Local,S14,2026-09-20,17:30,17:35,Low
TR1127,Passenger,S17,2026-09-20,16:00,16:15,Medium
